Recipe Key,recipe_building_prop_door_simple_wooden_left
Recipe Name,Simple Wooden Door
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,9
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,9%,0,0,0,20,18
1,16%,0,0,0,20,17
2,26%,0,0,0,20,15
3,39%,0,0,0,20,12
4,54%,0,0,0,20,9
5,68%,0,0,0,20,6
6,80%,0,0,0,20,4
7,88%,0,0,0,20,2
8,93%,0,0,0,21,1
9,100%,19,21,23,,21
10,100%,16,17,18,,17
11,100%,12,13,14,,13
12,100%,8,9,10,,9
13,100%,5,5,5,,5
14,100%,1,1,1,,1
15,100%,0,0,0,,0
16,100%,0,0,0,,0
17,100%,0,0,0,,0
18,100%,0,0,0,,0
19+,100%,0,0,0,,0
