Recipe Key,recipe_building_prop_door_wooden
Recipe Name,Rustic Wooden Door
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,20
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,0,0,0,20,19
1,4%,0,0,0,20,19
2,4%,0,0,0,20,19
3,4%,0,0,0,20,19
4,4%,0,0,0,20,19
5,4%,0,0,0,20,19
6,4%,0,0,0,20,19
7,4%,0,0,0,20,19
8,4%,0,0,0,21,20
9,4%,0,0,0,22,21
10,5%,0,0,0,23,22
11,9%,0,0,0,24,22
12,16%,0,0,0,25,21
13,26%,0,0,0,26,19
14,39%,0,0,0,27,16
15,54%,0,0,0,28,13
16,68%,0,0,0,29,9
17,80%,0,0,0,30,6
18,88%,0,0,0,31,4
19,93%,0,0,0,32,2
20,100%,29,32,35,,32
21,100%,26,28,30,,28
22,100%,22,24,26,,24
23,100%,18,20,22,,20
24,100%,15,16,17,,16
25,100%,11,12,13,,12
26,100%,7,8,9,,8
27,100%,4,4,4,,4
28,100%,0,0,0,,0
29,100%,0,0,0,,0
30+,100%,0,0,0,,0
