Recipe Key,recipe_building_prop_grapevinepatch_long
Recipe Name,Tall Climbing Ivy
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,30
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,0,0,0,20,19
1,4%,0,0,0,20,19
2,4%,0,0,0,20,19
3,4%,0,0,0,20,19
4,4%,0,0,0,20,19
5,4%,0,0,0,21,20
6,4%,0,0,0,22,21
7,4%,0,0,0,23,22
8,4%,0,0,0,24,23
9,4%,0,0,0,25,24
10,4%,0,0,0,26,25
11,4%,0,0,0,27,26
12,4%,0,0,0,28,27
13,4%,0,0,0,29,28
14,4%,0,0,0,30,29
15,4%,0,0,0,31,30
16,4%,0,0,0,32,31
17,4%,0,0,0,33,32
18,4%,0,0,0,34,33
19,4%,0,0,0,35,34
20,5%,0,0,0,36,34
21,9%,0,0,0,37,34
22,16%,0,0,0,38,32
23,26%,0,0,0,39,29
24,39%,0,0,0,40,24
25,54%,0,0,0,41,19
26,68%,0,0,0,42,13
27,80%,0,0,0,43,9
28,88%,0,0,0,44,5
29,93%,0,0,0,45,3
30,100%,39,42,45,,42
31,100%,35,38,41,,38
32,100%,31,34,37,,34
33,100%,28,30,32,,30
34,100%,24,26,28,,26
35,100%,20,22,24,,22
36,100%,17,18,19,,18
37,100%,13,14,15,,14
38,100%,9,10,11,,10
39,100%,6,6,6,,6
40+,100%,2,2,2,,2
