Recipe Key,recipe_building_prop_hunterslodge_drinking_horn_01
Recipe Name,Hunters Drinking Horn
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,3
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,80%,0,0,0,20,4
1,88%,0,0,0,20,2
2,93%,0,0,0,20,1
3,100%,14,15,16,,15
4,100%,10,11,12,,11
5,100%,6,7,8,,7
6,100%,3,3,3,,3
7,100%,0,0,0,,0
8,100%,0,0,0,,0
9,100%,0,0,0,,0
10,100%,0,0,0,,0
11,100%,0,0,0,,0
12,100%,0,0,0,,0
13+,100%,0,0,0,,0
