Recipe Key,recipe_building_prop_medium_window_planter_stone
Recipe Name,Small Stone Window Flowerpot
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,19
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,0,0,0,20,19
1,4%,0,0,0,20,19
2,4%,0,0,0,20,19
3,4%,0,0,0,20,19
4,4%,0,0,0,20,19
5,4%,0,0,0,20,19
6,4%,0,0,0,20,19
7,4%,0,0,0,20,19
8,4%,0,0,0,21,20
9,5%,0,0,0,22,21
10,9%,0,0,0,23,21
11,16%,0,0,0,24,20
12,26%,0,0,0,25,19
13,39%,0,0,0,26,16
14,54%,0,0,0,27,12
15,68%,0,0,0,28,9
16,80%,0,0,0,29,6
17,88%,0,0,0,30,4
18,93%,0,0,0,31,2
19,100%,29,31,33,,31
20,100%,25,27,29,,27
21,100%,21,23,25,,23
22,100%,17,19,21,,19
23,100%,14,15,16,,15
24,100%,10,11,12,,11
25,100%,6,7,8,,7
26,100%,3,3,3,,3
27,100%,0,0,0,,0
28,100%,0,0,0,,0
29+,100%,0,0,0,,0
