Recipe Key,recipe_building_prop_ornamented_table
Recipe Name,Ornamented Table
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,14
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,0,0,0,20,19
1,4%,0,0,0,20,19
2,4%,0,0,0,20,19
3,4%,0,0,0,20,19
4,5%,0,0,0,20,19
5,9%,0,0,0,20,18
6,16%,0,0,0,20,17
7,26%,0,0,0,20,15
8,39%,0,0,0,21,13
9,54%,0,0,0,22,10
10,68%,0,0,0,23,7
11,80%,0,0,0,24,5
12,88%,0,0,0,25,3
13,93%,0,0,0,26,2
14,100%,24,26,28,,26
15,100%,20,22,24,,22
16,100%,17,18,19,,18
17,100%,13,14,15,,14
18,100%,9,10,11,,10
19,100%,6,6,6,,6
20,100%,2,2,2,,2
21,100%,0,0,0,,0
22,100%,0,0,0,,0
23,100%,0,0,0,,0
24+,100%,0,0,0,,0
