Recipe Key,recipe_building_prop_reinforced_chest_02
Recipe Name,Wrought Iron Reinforced Chest
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,23
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,0,0,0,20,19
1,4%,0,0,0,20,19
2,4%,0,0,0,20,19
3,4%,0,0,0,20,19
4,4%,0,0,0,20,19
5,4%,0,0,0,20,19
6,4%,0,0,0,20,19
7,4%,0,0,0,20,19
8,4%,0,0,0,21,20
9,4%,0,0,0,22,21
10,4%,0,0,0,23,22
11,4%,0,0,0,24,23
12,4%,0,0,0,25,24
13,5%,0,0,0,26,25
14,9%,0,0,0,27,24
15,16%,0,0,0,28,24
16,26%,0,0,0,29,22
17,39%,0,0,0,30,18
18,54%,0,0,0,31,14
19,68%,0,0,0,32,10
20,80%,0,0,0,33,7
21,88%,0,0,0,34,4
22,93%,0,0,0,35,2
23,100%,32,35,38,,35
24,100%,29,31,33,,31
25,100%,25,27,29,,27
26,100%,21,23,25,,23
27,100%,17,19,21,,19
28,100%,14,15,16,,15
29,100%,10,11,12,,11
30,100%,6,7,8,,7
31,100%,3,3,3,,3
32,100%,0,0,0,,0
33+,100%,0,0,0,,0
