Recipe Key,recipe_building_prop_reinforced_chest_03
Recipe Name,Steel Reinforced Chest
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,28
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,0,0,0,38,36
1,4%,0,0,0,39,37
2,4%,0,0,0,40,38
3,4%,0,0,0,41,39
4,4%,0,0,0,42,40
5,4%,0,0,0,43,41
6,4%,0,0,0,44,42
7,4%,0,0,0,45,43
8,4%,0,0,0,46,44
9,4%,0,0,0,47,45
10,4%,0,0,0,48,46
11,4%,0,0,0,49,47
12,4%,0,0,0,50,48
13,4%,0,0,0,50,48
14,4%,0,0,0,50,48
15,4%,0,0,0,50,48
16,4%,0,0,0,50,48
17,4%,0,0,0,50,48
18,5%,0,0,0,50,47
19,9%,0,0,0,50,45
20,16%,0,0,0,50,42
21,26%,0,0,0,50,37
22,39%,0,0,0,50,31
23,54%,0,0,0,50,23
24,68%,0,0,0,50,16
25,80%,0,0,0,50,10
26,88%,0,0,0,50,6
27,93%,0,0,0,50,4
28,100%,40,43,46,,43
29,100%,37,40,43,,40
30,100%,34,37,40,,37
31,100%,31,34,37,,34
32,100%,29,31,33,,31
33,100%,26,28,30,,28
34,100%,23,25,27,,25
35,100%,20,22,24,,22
36,100%,17,19,21,,19
37,100%,15,16,17,,16
38+,100%,12,13,14,,13
