Recipe Key,recipe_building_prop_wicker_basket_long
Recipe Name,Wicker Basket
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,7
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,26%,0,0,0,20,15
1,39%,0,0,0,20,12
2,54%,0,0,0,20,9
3,68%,0,0,0,20,6
4,80%,0,0,0,20,4
5,88%,0,0,0,20,2
6,93%,0,0,0,20,1
7,100%,17,19,21,,19
8,100%,14,15,16,,15
9,100%,10,11,12,,11
10,100%,6,7,8,,7
11,100%,3,3,3,,3
12,100%,0,0,0,,0
13,100%,0,0,0,,0
14,100%,0,0,0,,0
15,100%,0,0,0,,0
16,100%,0,0,0,,0
17+,100%,0,0,0,,0
