Recipe Key,recipe_building_prop_wooden_barrel_large_02
Recipe Name,Large Fine Wooden Barrel
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,25
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,0,0,0,20,19
1,4%,0,0,0,20,19
2,4%,0,0,0,20,19
3,4%,0,0,0,20,19
4,4%,0,0,0,20,19
5,4%,0,0,0,21,20
6,4%,0,0,0,22,21
7,4%,0,0,0,23,22
8,4%,0,0,0,24,23
9,4%,0,0,0,25,24
10,4%,0,0,0,26,25
11,4%,0,0,0,27,26
12,4%,0,0,0,28,27
13,4%,0,0,0,29,28
14,4%,0,0,0,30,29
15,5%,0,0,0,31,29
16,9%,0,0,0,32,29
17,16%,0,0,0,33,28
18,26%,0,0,0,34,25
19,39%,0,0,0,35,21
20,54%,0,0,0,36,17
21,68%,0,0,0,37,12
22,80%,0,0,0,38,8
23,88%,0,0,0,39,5
24,93%,0,0,0,40,3
25,100%,34,37,40,,37
26,100%,30,33,36,,33
27,100%,27,29,31,,29
28,100%,23,25,27,,25
29,100%,19,21,23,,21
30,100%,16,17,18,,17
31,100%,12,13,14,,13
32,100%,8,9,10,,9
33,100%,5,5,5,,5
34,100%,1,1,1,,1
35+,100%,0,0,0,,0
