Recipe Key,recipe_crafter_charcuterie_workbench_1
Recipe Name,Basic Butcher's Workbench
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,11
XPMultiplier,1.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,232,252,272,20,29
1,5%,221,240,259,20,32
2,9%,210,228,246,20,40
3,16%,199,216,233,20,51
4,26%,188,204,220,20,68
5,39%,177,192,207,20,87
6,54%,166,180,194,20,106
7,68%,155,168,181,20,121
8,80%,144,156,168,21,129
9,88%,132,144,156,22,129
10,93%,121,132,143,23,124
11,100%,21,23,25,,23
12,100%,17,19,21,,19
13,100%,14,15,16,,15
14,100%,10,11,12,,11
15,100%,6,7,8,,7
16,100%,3,3,3,,3
17,100%,0,0,0,,0
18,100%,0,0,0,,0
19,100%,0,0,0,,0
20,100%,0,0,0,,0
21+,100%,0,0,0,,0
