Recipe Key,recipe_item_material_wood_beams_fine
Recipe Name,Fine Wood Beam
Skill,skill_building
UnlockAtSkillLevel,7
SkillDifficulty,17
XPMultiplier,1.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
7,5%,250,272,294,20,33
8,9%,238,258,279,20,42
9,16%,225,245,264,20,56
10,26%,213,231,250,20,75
11,39%,200,218,235,20,97
12,54%,188,204,220,20,119
13,68%,175,190,206,20,136
14,80%,163,177,191,20,145
15,88%,150,163,176,21,146
16,93%,138,150,162,22,141
17,100%,27,29,31,,29
18,100%,23,25,27,,25
19,100%,19,21,23,,21
20,100%,16,17,18,,17
21,100%,12,13,14,,13
22,100%,8,9,10,,9
23,100%,5,5,5,,5
24,100%,1,1,1,,1
25,100%,0,0,0,,0
26,100%,0,0,0,,0
27+,100%,0,0,0,,0
