Recipe Key,recipe_item_prop_chandelier_metal_ornamental
Recipe Name,Ornamental Iron Chandelier
Skill,skill_building
UnlockAtSkillLevel,16
SkillDifficulty,22
XPMultiplier,2.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
16,39%,283,307,332,20,132
17,54%,265,288,311,20,165
18,68%,247,269,290,20,190
19,80%,230,250,270,20,203
20,88%,212,230,249,20,205
21,93%,194,211,228,20,198
22,100%,31,34,37,,34
23,100%,28,30,32,,30
24,100%,24,26,28,,26
25,100%,20,22,24,,22
26,100%,17,18,19,,18
27,100%,13,14,15,,14
28,100%,9,10,11,,10
29,100%,6,6,6,,6
30,100%,2,2,2,,2
31,100%,0,0,0,,0
32+,100%,0,0,0,,0
