Recipe Key,recipe_item_prop_chandelier_metal_ornamental_simple
Recipe Name,Iron Chandelier
Skill,skill_building
UnlockAtSkillLevel,12
SkillDifficulty,17
XPMultiplier,2.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
12,54%,221,240,259,20,139
13,68%,206,224,242,20,159
14,80%,191,208,225,20,170
15,88%,177,192,207,20,171
16,93%,162,176,190,20,165
17,100%,27,29,31,,29
18,100%,23,25,27,,25
19,100%,19,21,23,,21
20,100%,16,17,18,,17
21,100%,12,13,14,,13
22,100%,8,9,10,,9
23,100%,5,5,5,,5
24,100%,1,1,1,,1
25,100%,0,0,0,,0
26,100%,0,0,0,,0
27+,100%,0,0,0,,0
