Recipe Key,recipe_item_prop_chandelier_metal_ornamental_tall
Recipe Name,Tall Ornamental Iron Chandelier
Skill,skill_building
UnlockAtSkillLevel,21
SkillDifficulty,27
XPMultiplier,2.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
21,39%,336,365,395,20,155
22,54%,315,342,370,20,194
23,68%,293,319,345,20,224
24,80%,272,296,319,20,240
25,88%,251,273,294,20,242
26,93%,229,249,269,21,233
27,100%,36,39,42,,39
28,100%,32,35,38,,35
29,100%,29,31,33,,31
30,100%,25,27,29,,27
31,100%,21,23,25,,23
32,100%,17,19,21,,19
33,100%,14,15,16,,15
34,100%,10,11,12,,11
35,100%,6,7,8,,7
36,100%,3,3,3,,3
37+,100%,0,0,0,,0
