Recipe Key,recipe_item_prop_large_window_planter_stone
Recipe Name,Stone Window Flowerpot
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,4
XPMultiplier,1.1
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,68%,113,123,133,20,90
1,80%,105,114,124,20,95
2,88%,97,106,114,20,95
3,93%,89,97,105,20,91
4,100%,15,16,17,,16
5,100%,11,12,13,,12
6,100%,7,8,9,,8
7,100%,4,4,4,,4
8,100%,0,0,0,,0
9,100%,0,0,0,,0
10,100%,0,0,0,,0
11,100%,0,0,0,,0
12,100%,0,0,0,,0
13,100%,0,0,0,,0
14+,100%,0,0,0,,0
