Recipe Key,recipe_item_prop_large_window_planter_wood
Recipe Name,Wooden Window Flowerpot
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,15
XPMultiplier,1.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,331,360,389,20,34
1,4%,318,346,373,20,33
2,4%,305,331,358,20,32
3,4%,291,317,342,20,32
4,4%,278,302,327,20,31
5,5%,265,288,311,20,34
6,9%,252,274,295,20,44
7,16%,238,259,280,20,58
8,26%,225,245,264,21,79
9,39%,212,230,249,22,103
10,54%,199,216,233,23,127
11,68%,185,202,218,24,145
12,80%,172,187,202,25,154
13,88%,159,173,187,26,155
14,93%,146,158,171,27,149
15,100%,25,27,29,,27
16,100%,21,23,25,,23
17,100%,17,19,21,,19
18,100%,14,15,16,,15
19,100%,10,11,12,,11
20,100%,6,7,8,,7
21,100%,3,3,3,,3
22,100%,0,0,0,,0
23,100%,0,0,0,,0
24,100%,0,0,0,,0
25+,100%,0,0,0,,0
