Recipe Key,recipe_item_prop_old_wooden_table
Recipe Name,Simple Wooden Table
Skill,skill_building
UnlockAtSkillLevel,2
SkillDifficulty,6
XPMultiplier,1.2
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
2,68%,124,134,145,20,98
3,80%,115,125,135,20,104
4,88%,106,115,124,20,104
5,93%,97,106,114,20,100
6,100%,17,18,19,,18
7,100%,13,14,15,,14
8,100%,9,10,11,,10
9,100%,6,6,6,,6
10,100%,2,2,2,,2
11,100%,0,0,0,,0
12,100%,0,0,0,,0
13,100%,0,0,0,,0
14,100%,0,0,0,,0
15,100%,0,0,0,,0
16+,100%,0,0,0,,0
