Recipe Key,recipe_item_prop_ornamented_bed
Recipe Name,Wood Bed
Skill,skill_building
UnlockAtSkillLevel,7
SkillDifficulty,12
XPMultiplier,1.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
7,54%,269,292,316,35,174
8,68%,250,272,294,36,197
9,80%,231,252,272,37,208
10,88%,213,231,250,38,208
11,93%,194,211,228,39,199
12,100%,25,27,29,,27
13,100%,22,24,26,,24
14,100%,19,21,23,,21
15,100%,17,18,19,,18
16,100%,14,15,16,,15
17,100%,11,12,13,,12
18,100%,8,9,10,,9
19,100%,6,6,6,,6
20,100%,3,3,3,,3
21,100%,0,0,0,,0
22+,100%,0,0,0,,0
