Recipe Key,recipe_item_prop_ornamented_chair_03
Recipe Name,Sturdy Chair
Skill,skill_building
UnlockAtSkillLevel,23
SkillDifficulty,30
XPMultiplier,3.2
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
23,26%,394,429,463,20,126
24,39%,371,403,435,20,169
25,54%,347,378,408,20,213
26,68%,324,352,380,20,246
27,80%,300,326,353,20,264
28,88%,277,301,325,21,267
29,93%,253,275,297,22,257
30,100%,39,42,45,,42
31,100%,35,38,41,,38
32,100%,31,34,37,,34
33,100%,28,30,32,,30
34,100%,24,26,28,,26
35,100%,20,22,24,,22
36,100%,17,18,19,,18
37,100%,13,14,15,,14
38,100%,9,10,11,,10
39,100%,6,6,6,,6
40+,100%,2,2,2,,2
