Recipe Key,recipe_item_prop_shutter_narrow_chevron_left
Recipe Name,Narrow Chevron Shutter
Skill,skill_building
UnlockAtSkillLevel,19
SkillDifficulty,25
XPMultiplier,2.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
19,39%,325,353,381,20,150
20,54%,304,330,357,20,187
21,68%,283,308,333,20,216
22,80%,263,286,308,20,232
23,88%,242,263,284,20,234
24,93%,222,241,260,21,225
25,100%,34,37,40,,37
26,100%,30,33,36,,33
27,100%,27,29,31,,29
28,100%,23,25,27,,25
29,100%,19,21,23,,21
30,100%,16,17,18,,17
31,100%,12,13,14,,13
32,100%,8,9,10,,9
33,100%,5,5,5,,5
34,100%,1,1,1,,1
35+,100%,0,0,0,,0
