Recipe Key,recipe_item_prop_simple_bed
Recipe Name,Simple Bed
Skill,skill_building
UnlockAtSkillLevel,4
SkillDifficulty,8
XPMultiplier,1.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
4,68%,144,157,169,20,113
5,80%,134,146,157,20,120
6,88%,124,134,145,20,120
7,93%,113,123,133,20,116
8,100%,18,20,22,,20
9,100%,15,16,17,,16
10,100%,11,12,13,,12
11,100%,7,8,9,,8
12,100%,4,4,4,,4
13,100%,0,0,0,,0
14,100%,0,0,0,,0
15,100%,0,0,0,,0
16,100%,0,0,0,,0
17,100%,0,0,0,,0
18+,100%,0,0,0,,0
