Recipe Key,recipe_item_prop_wooden_barrel_large_02
Recipe Name,Large Fine Wooden Barrel
Skill,skill_building
UnlockAtSkillLevel,19
SkillDifficulty,25
XPMultiplier,2.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
19,39%,301,328,354,20,140
20,54%,282,307,331,20,175
21,68%,263,286,309,20,201
22,80%,244,265,286,20,216
23,88%,225,244,264,20,217
24,93%,206,224,241,21,209
25,100%,34,37,40,,37
26,100%,30,33,36,,33
27,100%,27,29,31,,29
28,100%,23,25,27,,25
29,100%,19,21,23,,21
30,100%,16,17,18,,17
31,100%,12,13,14,,13
32,100%,8,9,10,,9
33,100%,5,5,5,,5
34,100%,1,1,1,,1
35+,100%,0,0,0,,0
