Recipe Key,recipe_item_unlock_crafter_builder_workbench_2
Recipe Name,Carpenter's Tools
Skill,skill_building
UnlockAtSkillLevel,9
SkillDifficulty,21
XPMultiplier,2.1
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
9,4%,340,370,399,20,34
10,4%,325,353,381,20,33
11,5%,309,336,363,20,37
12,9%,294,319,345,20,48
13,16%,278,302,327,20,65
14,26%,263,286,308,20,89
15,39%,247,269,290,20,117
16,54%,232,252,272,20,145
17,68%,216,235,254,21,167
18,80%,201,218,236,22,179
19,88%,185,202,218,23,180
20,93%,170,185,200,24,173
21,100%,30,33,36,,33
22,100%,27,29,31,,29
23,100%,23,25,27,,25
24,100%,19,21,23,,21
25,100%,16,17,18,,17
26,100%,12,13,14,,13
27,100%,8,9,10,,9
28,100%,5,5,5,,5
29,100%,1,1,1,,1
30,100%,0,0,0,,0
31+,100%,0,0,0,,0
