Recipe Key,recipe_quality_butchered_boar
Recipe Name,Butchered Boar
Skill,skill_charcuterie
UnlockAtSkillLevel,13
SkillDifficulty,27
XPMultiplier,2.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
13,4%,454,494,534,20,39
14,4%,435,473,511,20,38
15,4%,416,452,489,20,37
16,4%,397,432,466,20,36
17,5%,378,411,444,20,41
18,9%,359,390,421,21,56
19,16%,340,369,399,22,77
20,26%,321,348,376,23,107
21,39%,301,328,354,24,142
22,54%,282,307,331,25,177
23,68%,263,286,309,26,203
24,80%,244,265,286,27,217
25,88%,225,244,264,28,218
26,93%,206,224,241,29,210
27,100%,36,39,42,,39
28,100%,32,35,38,,35
29,100%,29,31,33,,31
30,100%,25,27,29,,27
31,100%,21,23,25,,23
32,100%,17,19,21,,19
33,100%,14,15,16,,15
34,100%,10,11,12,,11
35,100%,6,7,8,,7
36,100%,3,3,3,,3
37+,100%,0,0,0,,0
