Recipe Key,recipe_quality_butchered_deer
Recipe Name,Butchered Deer
Skill,skill_charcuterie
UnlockAtSkillLevel,12
SkillDifficulty,25
XPMultiplier,2.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
12,4%,402,437,472,20,37
13,4%,384,418,451,20,36
14,4%,367,398,430,20,35
15,5%,349,379,410,20,39
16,9%,331,360,389,20,52
17,16%,314,341,368,21,72
18,26%,296,322,347,22,99
19,39%,278,302,327,23,132
20,54%,261,283,306,24,164
21,68%,243,264,285,25,188
22,80%,225,245,264,26,200
23,88%,208,226,244,27,201
24,93%,190,206,223,28,194
25,100%,34,37,40,,37
26,100%,30,33,36,,33
27,100%,27,29,31,,29
28,100%,23,25,27,,25
29,100%,19,21,23,,21
30,100%,16,17,18,,17
31,100%,12,13,14,,13
32,100%,8,9,10,,9
33,100%,5,5,5,,5
34,100%,1,1,1,,1
35+,100%,0,0,0,,0
