Recipe Key,recipe_standard-cut_bear
Recipe Name,Well Parted Bear
Skill,skill_charcuterie
UnlockAtSkillLevel,11
SkillDifficulty,24
XPMultiplier,2.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
11,4%,389,423,457,20,36
12,4%,372,405,437,20,35
13,4%,355,386,417,20,35
14,5%,339,368,397,20,39
15,9%,322,350,378,20,51
16,16%,305,331,358,20,70
17,26%,288,313,338,20,96
18,39%,271,294,318,20,127
19,54%,254,276,298,21,159
20,68%,237,258,278,22,183
21,80%,220,239,258,23,195
22,88%,203,221,238,24,197
23,93%,186,202,219,25,190
24,100%,33,36,39,,36
25,100%,29,32,35,,32
26,100%,26,28,30,,28
27,100%,22,24,26,,24
28,100%,18,20,22,,20
29,100%,15,16,17,,16
30,100%,11,12,13,,12
31,100%,7,8,9,,8
32,100%,4,4,4,,4
33,100%,0,0,0,,0
34+,100%,0,0,0,,0
