Recipe Key,recipe_standard-cut_deer
Recipe Name,Well Parted Deer
Skill,skill_charcuterie
UnlockAtSkillLevel,7
SkillDifficulty,16
XPMultiplier,1.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
7,9%,238,258,279,20,42
8,16%,225,245,264,20,56
9,26%,213,231,250,20,75
10,39%,200,218,235,20,97
11,54%,188,204,220,20,119
12,68%,175,190,206,20,136
13,80%,163,177,191,20,145
14,88%,150,163,176,20,146
15,93%,138,150,162,21,141
16,100%,26,28,30,,28
17,100%,22,24,26,,24
18,100%,18,20,22,,20
19,100%,15,16,17,,16
20,100%,11,12,13,,12
21,100%,7,8,9,,8
22,100%,4,4,4,,4
23,100%,0,0,0,,0
24,100%,0,0,0,,0
25,100%,0,0,0,,0
26+,100%,0,0,0,,0
