Recipe Key,recipe_activatable_drink_herbal_tea_hpregen_12
Recipe Name,Garlic Tea
Skill,skill_cooking
UnlockAtSkillLevel,20
SkillDifficulty,35
XPMultiplier,3.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
20,4%,710,772,834,20,50
21,4%,682,741,800,20,49
22,4%,653,710,767,20,48
23,4%,624,679,733,20,46
24,4%,596,647,699,20,45
25,5%,567,616,665,21,53
26,9%,538,585,632,22,75
27,16%,509,554,598,23,108
28,26%,481,523,564,24,153
29,39%,452,491,531,25,207
30,54%,423,460,497,26,260
31,68%,395,429,463,27,301
32,80%,366,398,430,28,323
33,88%,337,367,396,29,325
34,93%,309,335,362,30,314
35,100%,43,47,51,,47
36,100%,40,43,46,,43
37,100%,36,39,42,,39
38,100%,32,35,38,,35
39,100%,29,31,33,,31
40,100%,25,27,29,,27
41,100%,21,23,25,,23
42,100%,17,19,21,,19
43,100%,14,15,16,,15
44,100%,10,11,12,,11
45+,100%,6,7,8,,7
