Recipe Key,recipe_activatable_drink_herbal_tea_maxhp_4
Recipe Name,Fennel Tea
Skill,skill_cooking
UnlockAtSkillLevel,13
SkillDifficulty,26
XPMultiplier,2.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
13,4%,452,491,531,20,39
14,4%,432,470,507,20,38
15,4%,412,448,484,20,37
16,5%,392,427,461,20,42
17,9%,373,405,437,20,56
18,16%,353,383,414,21,79
19,26%,333,362,391,22,110
20,39%,313,340,367,23,147
21,54%,293,319,344,24,183
22,68%,273,297,321,25,211
23,80%,253,275,297,26,225
24,88%,233,254,274,27,226
25,93%,214,232,251,28,218
26,100%,35,38,41,,38
27,100%,31,34,37,,34
28,100%,28,30,32,,30
29,100%,24,26,28,,26
30,100%,20,22,24,,22
31,100%,17,18,19,,18
32,100%,13,14,15,,14
33,100%,9,10,11,,10
34,100%,6,6,6,,6
35,100%,2,2,2,,2
36+,100%,0,0,0,,0
