Recipe Key,recipe_activatable_foodcooked_porridge_resistancebuff_31
Recipe Name,Golden Porridge
Skill,skill_cooking
UnlockAtSkillLevel,18
SkillDifficulty,32
XPMultiplier,3.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
18,4%,629,684,739,20,47
19,4%,603,655,708,20,45
20,4%,576,626,677,20,44
21,4%,550,598,645,20,43
22,5%,523,569,614,20,49
23,9%,497,540,583,21,70
24,16%,470,511,552,22,100
25,26%,444,482,521,23,142
26,39%,417,454,490,24,191
27,54%,391,425,459,25,241
28,68%,364,396,428,26,278
29,80%,338,367,397,27,298
30,88%,311,338,365,28,301
31,93%,285,310,334,29,290
32,100%,40,44,48,,44
33,100%,37,40,43,,40
34,100%,33,36,39,,36
35,100%,29,32,35,,32
36,100%,26,28,30,,28
37,100%,22,24,26,,24
38,100%,18,20,22,,20
39,100%,15,16,17,,16
40,100%,11,12,13,,12
41,100%,7,8,9,,8
42+,100%,4,4,4,,4
