Recipe Key,recipe_activatable_foodcooked_porridge_resistancebuff_45
Recipe Name,Dressed up Porridge
Skill,skill_cooking
UnlockAtSkillLevel,22
SkillDifficulty,37
XPMultiplier,4.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
22,4%,838,911,984,20,56
23,4%,804,874,944,20,54
24,4%,770,837,904,20,53
25,4%,736,800,864,20,51
26,4%,703,764,825,20,50
27,5%,669,727,785,21,59
28,9%,635,690,745,22,85
29,16%,601,653,705,23,124
30,26%,567,616,666,24,177
31,39%,533,580,626,25,241
32,54%,499,543,586,26,305
33,68%,466,506,546,27,354
34,80%,432,469,507,28,380
35,88%,398,432,467,29,383
36,93%,364,396,427,30,370
37,100%,45,49,53,,49
38,100%,41,45,49,,45
39,100%,38,41,44,,41
40,100%,34,37,40,,37
41,100%,30,33,36,,33
42,100%,27,29,31,,29
43,100%,23,25,27,,25
44,100%,19,21,23,,21
45,100%,16,17,18,,17
46,100%,12,13,14,,13
47+,100%,8,9,10,,9
