Recipe Key,recipe_crafter_cooking_hearth_2
Recipe Name,Cooking Hearth
Skill,skill_cooking
UnlockAtSkillLevel,0
SkillDifficulty,21
XPMultiplier,2.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,593,645,696,20,45
1,4%,574,624,674,20,44
2,4%,555,603,651,20,43
3,4%,536,582,629,20,42
4,4%,517,562,607,20,42
5,4%,498,541,584,20,41
6,4%,478,520,562,20,40
7,4%,459,499,539,20,39
8,4%,440,478,517,21,39
9,4%,421,458,494,22,39
10,4%,402,437,472,23,40
11,5%,383,416,449,24,45
12,9%,364,395,427,25,60
13,16%,344,374,404,26,82
14,26%,325,354,382,27,111
15,39%,306,333,359,28,147
16,54%,287,312,337,29,182
17,68%,268,291,314,30,208
18,80%,249,270,292,31,222
19,88%,230,250,270,32,223
20,93%,210,229,247,33,215
21,100%,30,33,36,,33
22,100%,27,29,31,,29
23,100%,23,25,27,,25
24,100%,19,21,23,,21
25,100%,16,17,18,,17
26,100%,12,13,14,,13
27,100%,8,9,10,,9
28,100%,5,5,5,,5
29,100%,1,1,1,,1
30,100%,0,0,0,,0
31+,100%,0,0,0,,0
