Recipe Key,recipe_wieldable_bow_2h_0_t2_rare
Recipe Name,Warded Longbow
Skill,skill_fletching
UnlockAtSkillLevel,0
SkillDifficulty,19
XPMultiplier,5.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1153,1253,1353,20,69
1,4%,1113,1210,1306,20,68
2,4%,1073,1166,1260,20,66
3,4%,1033,1123,1213,20,64
4,4%,994,1080,1166,20,62
5,4%,954,1037,1120,20,61
6,4%,914,994,1073,20,59
7,4%,874,950,1026,20,57
8,4%,835,907,980,21,56
9,5%,795,864,933,22,67
10,9%,755,821,886,23,98
11,16%,715,778,840,24,144
12,26%,676,734,793,25,208
13,39%,636,691,746,26,285
14,54%,596,648,700,27,362
15,68%,556,605,653,28,421
16,80%,517,562,607,29,454
17,88%,477,518,560,30,459
18,93%,437,475,513,31,444
19,100%,29,31,33,,31
20,100%,25,27,29,,27
21,100%,21,23,25,,23
22,100%,17,19,21,,19
23,100%,14,15,16,,15
24,100%,10,11,12,,11
25,100%,6,7,8,,7
26,100%,3,3,3,,3
27,100%,0,0,0,,0
28,100%,0,0,0,,0
29+,100%,0,0,0,,0
