Recipe Key,recipe_jewelcrafting_item_enchanting_consumable_tier_2
Recipe Name,Sanctified Oil II
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,12
XPMultiplier,1.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,243,264,285,20,30
1,4%,232,252,272,20,29
2,5%,221,240,259,20,32
3,9%,210,228,246,20,40
4,16%,199,216,233,20,51
5,26%,188,204,220,20,68
6,39%,177,192,207,20,87
7,54%,166,180,194,20,106
8,68%,155,168,181,21,121
9,80%,144,156,168,22,129
10,88%,132,144,156,23,129
11,93%,121,132,143,24,124
12,100%,22,24,26,,24
13,100%,18,20,22,,20
14,100%,15,16,17,,16
15,100%,11,12,13,,12
16,100%,7,8,9,,8
17,100%,4,4,4,,4
18,100%,0,0,0,,0
19,100%,0,0,0,,0
20,100%,0,0,0,,0
21,100%,0,0,0,,0
22+,100%,0,0,0,,0
