Recipe Key,recipe_wearable_hat_jewellery_rp_diadem_01_bronze
Recipe Name,Oakwarden’s Tiara
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,10
SkillDifficulty,15
XPMultiplier,1.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
10,54%,188,204,220,20,119
11,68%,175,190,206,20,136
12,80%,163,177,191,20,145
13,88%,150,163,176,20,146
14,93%,138,150,162,20,140
15,100%,25,27,29,,27
16,100%,21,23,25,,23
17,100%,17,19,21,,19
18,100%,14,15,16,,15
19,100%,10,11,12,,11
20,100%,6,7,8,,7
21,100%,3,3,3,,3
22,100%,0,0,0,,0
23,100%,0,0,0,,0
24,100%,0,0,0,,0
25+,100%,0,0,0,,0
