Recipe Key,recipe_wearable_jewellery_bracelet_common_10
Recipe Name,Silver Bracelet
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,21
XPMultiplier,2.46
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,561,610,659,20,44
1,4%,543,590,638,20,43
2,4%,525,571,616,20,42
3,4%,507,551,595,20,41
4,4%,489,531,574,20,40
5,4%,471,512,553,20,40
6,4%,453,492,531,20,39
7,4%,435,472,510,20,38
8,4%,416,453,489,21,38
9,4%,398,433,468,22,38
10,4%,380,413,446,23,39
11,5%,362,394,425,24,44
12,9%,344,374,404,25,58
13,16%,326,354,383,26,78
14,26%,308,335,361,27,106
15,39%,290,315,340,28,140
16,54%,272,295,319,29,173
17,68%,253,276,298,30,197
18,80%,235,256,276,31,210
19,88%,217,236,255,32,211
20,93%,199,216,234,33,204
21,100%,30,33,36,,33
22,100%,27,29,31,,29
23,100%,23,25,27,,25
24,100%,19,21,23,,21
25,100%,16,17,18,,17
26,100%,12,13,14,,13
27,100%,8,9,10,,9
28,100%,5,5,5,,5
29,100%,1,1,1,,1
30,100%,0,0,0,,0
31+,100%,0,0,0,,0
