Recipe Key,recipe_wearable_jewellery_bracelet_common_16
Recipe Name,Hammered Silver Bracelet
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,29
XPMultiplier,2.77
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,790,859,927,20,54
1,4%,770,837,903,20,53
2,4%,749,814,880,20,52
3,4%,729,792,856,20,51
4,4%,708,770,832,20,50
5,4%,688,748,808,21,50
6,4%,668,726,784,22,50
7,4%,647,704,760,23,50
8,4%,627,681,736,24,50
9,4%,607,659,712,25,50
10,4%,586,637,688,26,50
11,4%,566,615,664,27,51
12,4%,545,593,640,28,51
13,4%,525,571,616,29,51
14,4%,505,548,592,30,51
15,4%,484,526,568,31,51
16,4%,464,504,544,32,51
17,4%,443,482,521,33,51
18,4%,423,460,497,34,51
19,5%,403,438,473,35,57
20,9%,382,416,449,36,72
21,16%,362,393,425,37,94
22,26%,341,371,401,38,124
23,39%,321,349,377,39,160
24,54%,301,327,353,40,195
25,68%,280,305,329,41,221
26,80%,260,283,305,42,234
27,88%,240,260,281,43,234
28,93%,219,238,257,44,225
29,100%,38,41,44,,41
30,100%,34,37,40,,37
31,100%,30,33,36,,33
32,100%,27,29,31,,29
33,100%,23,25,27,,25
34,100%,19,21,23,,21
35,100%,16,17,18,,17
36,100%,12,13,14,,13
37,100%,8,9,10,,9
38,100%,5,5,5,,5
39+,100%,1,1,1,,1
