Recipe Key,recipe_wearable_jewellery_bracelet_common_7
Recipe Name,Shiny Silver Bracelet
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,18
XPMultiplier,2.46
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,507,551,595,20,41
1,4%,489,531,574,20,40
2,4%,471,512,553,20,40
3,4%,453,492,531,20,39
4,4%,435,472,510,20,38
5,4%,416,453,489,20,37
6,4%,398,433,468,20,37
7,4%,380,413,446,20,36
8,5%,362,394,425,21,41
9,9%,344,374,404,22,55
10,16%,326,354,383,23,76
11,26%,308,335,361,24,104
12,39%,290,315,340,25,138
13,54%,272,295,319,26,171
14,68%,253,276,298,27,197
15,80%,235,256,276,28,210
16,88%,217,236,255,29,211
17,93%,199,216,234,30,203
18,100%,28,30,32,,30
19,100%,24,26,28,,26
20,100%,20,22,24,,22
21,100%,17,18,19,,18
22,100%,13,14,15,,14
23,100%,9,10,11,,10
24,100%,6,6,6,,6
25,100%,2,2,2,,2
26,100%,0,0,0,,0
27,100%,0,0,0,,0
28+,100%,0,0,0,,0
