Recipe Key,recipe_wearable_jewellery_earring_poor_14
Recipe Name,Silvery Earring
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,23
XPMultiplier,2.56
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,622,676,730,20,46
1,4%,603,655,708,20,45
2,4%,584,635,686,20,45
3,4%,565,614,664,20,44
4,4%,546,594,641,20,43
5,4%,528,573,619,20,42
6,4%,509,553,597,20,41
7,4%,490,532,575,20,40
8,4%,471,512,553,21,41
9,4%,452,492,531,22,41
10,4%,433,471,509,23,41
11,4%,415,451,487,24,41
12,4%,396,430,464,25,41
13,5%,377,410,442,26,47
14,9%,358,389,420,27,61
15,16%,339,369,398,28,82
16,26%,320,348,376,29,111
17,39%,301,328,354,30,146
18,54%,283,307,332,31,180
19,68%,264,287,310,32,206
20,80%,245,266,288,33,219
21,88%,226,246,265,34,220
22,93%,207,225,243,35,212
23,100%,32,35,38,,35
24,100%,29,31,33,,31
25,100%,25,27,29,,27
26,100%,21,23,25,,23
27,100%,17,19,21,,19
28,100%,14,15,16,,15
29,100%,10,11,12,,11
30,100%,6,7,8,,7
31,100%,3,3,3,,3
32,100%,0,0,0,,0
33+,100%,0,0,0,,0
