Recipe Key,recipe_wearable_jewellery_hat_common_11
Recipe Name,Dandy Headband
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,23
XPMultiplier,4.11
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,998,1085,1172,20,63
1,4%,968,1052,1136,20,61
2,4%,938,1019,1101,20,60
3,4%,907,986,1065,20,59
4,4%,877,954,1030,20,57
5,4%,847,921,994,20,56
6,4%,817,888,959,20,55
7,4%,786,855,923,20,53
8,4%,756,822,888,21,53
9,4%,726,789,852,22,53
10,4%,696,756,817,23,52
11,4%,665,723,781,24,52
12,4%,635,690,746,25,52
13,5%,605,658,710,26,60
14,9%,575,625,675,27,83
15,16%,544,592,639,28,118
16,26%,514,559,604,29,166
17,39%,484,526,568,30,223
18,54%,454,493,533,31,280
19,68%,423,460,497,32,324
20,80%,393,427,462,33,347
21,88%,363,395,426,34,351
22,93%,333,362,391,35,339
23,100%,32,35,38,,35
24,100%,29,31,33,,31
25,100%,25,27,29,,27
26,100%,21,23,25,,23
27,100%,17,19,21,,19
28,100%,14,15,16,,15
29,100%,10,11,12,,11
30,100%,6,7,8,,7
31,100%,3,3,3,,3
32,100%,0,0,0,,0
33+,100%,0,0,0,,0
