Recipe Key,recipe_wearable_jewellery_hat_poor_23
Recipe Name,Golden Floral Headband
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,35
XPMultiplier,4.33
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1426,1550,1674,20,81
1,4%,1394,1516,1637,20,80
2,4%,1362,1481,1599,20,78
3,4%,1331,1446,1562,20,77
4,4%,1299,1412,1525,20,76
5,4%,1267,1377,1487,21,75
6,4%,1235,1342,1450,22,75
7,4%,1203,1308,1412,23,74
8,4%,1171,1273,1375,24,74
9,4%,1139,1238,1337,25,74
10,4%,1107,1204,1300,26,73
11,4%,1076,1169,1263,27,73
12,4%,1044,1134,1225,28,72
13,4%,1012,1100,1188,29,72
14,4%,980,1065,1150,30,71
15,4%,948,1031,1113,31,71
16,4%,916,996,1076,32,71
17,4%,884,961,1038,33,70
18,4%,852,927,1001,34,70
19,4%,821,892,963,35,69
20,4%,789,857,926,36,69
21,4%,757,823,889,37,68
22,4%,725,788,851,38,68
23,4%,693,753,814,39,68
24,4%,661,719,776,40,67
25,5%,629,684,739,41,75
26,9%,598,650,701,42,99
27,16%,566,615,664,43,134
28,26%,534,580,627,44,183
29,39%,502,546,589,45,240
30,54%,470,511,552,46,297
31,68%,438,476,514,47,340
32,80%,406,442,477,48,362
33,88%,374,407,440,49,363
34,93%,343,372,402,50,350
35,100%,43,47,51,,47
36,100%,40,43,46,,43
37,100%,36,39,42,,39
38,100%,32,35,38,,35
39,100%,29,31,33,,31
40,100%,25,27,29,,27
41,100%,21,23,25,,23
42,100%,17,19,21,,19
43,100%,14,15,16,,15
44,100%,10,11,12,,11
45+,100%,6,7,8,,7
