Recipe Key,recipe_wearable_jewellery_neck_common_1
Recipe Name,Small Topaz Amulet
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,8
XPMultiplier,2.46
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,16%,326,354,383,20,73
1,26%,308,335,361,20,101
2,39%,290,315,340,20,135
3,54%,272,295,319,20,168
4,68%,253,276,298,20,194
5,80%,235,256,276,20,208
6,88%,217,236,255,20,210
7,93%,199,216,234,20,203
8,100%,18,20,22,,20
9,100%,15,16,17,,16
10,100%,11,12,13,,12
11,100%,7,8,9,,8
12,100%,4,4,4,,4
13,100%,0,0,0,,0
14,100%,0,0,0,,0
15,100%,0,0,0,,0
16,100%,0,0,0,,0
17,100%,0,0,0,,0
18+,100%,0,0,0,,0
