Recipe Key,recipe_wearable_jewellery_neck_poor_12
Recipe Name,Small Amber Amulet
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,20
XPMultiplier,2.98
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,658,715,772,20,48
1,4%,636,691,747,20,47
2,4%,614,668,721,20,46
3,4%,592,644,695,20,45
4,4%,570,620,669,20,44
5,4%,548,596,644,20,43
6,4%,526,572,618,20,42
7,4%,504,548,592,20,41
8,4%,483,524,566,21,41
9,4%,461,501,541,22,41
10,5%,439,477,515,23,47
11,9%,417,453,489,24,64
12,16%,395,429,463,25,90
13,26%,373,405,438,26,124
14,39%,351,381,412,27,165
15,54%,329,358,386,28,206
16,68%,307,334,360,29,237
17,80%,285,310,335,30,253
18,88%,263,286,309,31,255
19,93%,241,262,283,32,246
20,100%,29,32,35,,32
21,100%,26,28,30,,28
22,100%,22,24,26,,24
23,100%,18,20,22,,20
24,100%,15,16,17,,16
25,100%,11,12,13,,12
26,100%,7,8,9,,8
27,100%,4,4,4,,4
28,100%,0,0,0,,0
29,100%,0,0,0,,0
30+,100%,0,0,0,,0
