Recipe Key,recipe_wearable_jewellery_neck_poor_20
Recipe Name,Silver Opal Necklace
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,31
XPMultiplier,3.78
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1134,1232,1331,20,68
1,4%,1106,1202,1298,20,67
2,4%,1078,1172,1266,20,66
3,4%,1050,1142,1233,20,65
4,4%,1022,1111,1200,20,64
5,4%,995,1081,1168,21,63
6,4%,967,1051,1135,22,63
7,4%,939,1021,1102,23,63
8,4%,911,990,1070,24,63
9,4%,883,960,1037,25,62
10,4%,855,930,1004,26,62
11,4%,828,900,972,27,62
12,4%,800,869,939,28,62
13,4%,772,839,906,29,61
14,4%,744,809,874,30,61
15,4%,716,779,841,31,61
16,4%,689,748,808,32,61
17,4%,661,718,776,33,60
18,4%,633,688,743,34,60
19,4%,605,658,710,35,60
20,4%,577,627,678,36,60
21,5%,549,597,645,37,67
22,9%,522,567,612,38,88
23,16%,494,537,580,39,118
24,26%,466,507,547,40,161
25,39%,438,476,514,41,211
26,54%,410,446,482,42,260
27,68%,383,416,449,43,297
28,80%,355,386,416,44,316
29,88%,327,355,384,45,318
30,93%,299,325,351,46,305
31,100%,40,43,46,,43
32,100%,36,39,42,,39
33,100%,32,35,38,,35
34,100%,29,31,33,,31
35,100%,25,27,29,,27
36,100%,21,23,25,,23
37,100%,17,19,21,,19
38,100%,14,15,16,,15
39,100%,10,11,12,,11
40,100%,6,7,8,,7
41+,100%,3,3,3,,3
