Recipe Key,recipe_wearable_jewellery_neck_poor_3
Recipe Name,Blizzard Stone Amulet
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,4
XPMultiplier,1.87
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,68%,193,209,226,20,149
1,80%,179,194,210,20,159
2,88%,165,180,194,20,160
3,93%,151,165,178,20,154
4,100%,15,16,17,,16
5,100%,11,12,13,,12
6,100%,7,8,9,,8
7,100%,4,4,4,,4
8,100%,0,0,0,,0
9,100%,0,0,0,,0
10,100%,0,0,0,,0
11,100%,0,0,0,,0
12,100%,0,0,0,,0
13,100%,0,0,0,,0
14+,100%,0,0,0,,0
