Recipe Key,recipe_wearable_jewellery_ring_common_23
Recipe Name,Slender Silver Tourmaline Ring
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,38
XPMultiplier,3.25
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1142,1242,1341,20,69
1,4%,1118,1216,1313,20,68
2,4%,1094,1190,1285,20,67
3,4%,1070,1164,1257,20,66
4,4%,1046,1138,1228,20,65
5,4%,1023,1112,1200,21,65
6,4%,999,1086,1172,22,65
7,4%,975,1060,1144,23,64
8,4%,951,1034,1116,24,64
9,4%,927,1008,1088,25,64
10,4%,903,982,1060,26,64
11,4%,879,956,1032,27,64
12,4%,855,930,1004,28,64
13,4%,831,904,976,29,64
14,4%,807,878,948,30,64
15,4%,783,852,920,31,64
16,4%,759,826,892,32,64
17,4%,736,800,863,33,64
18,4%,712,774,835,34,64
19,4%,688,748,807,35,64
20,4%,664,722,779,36,63
21,4%,640,696,751,37,63
22,4%,616,670,723,38,63
23,4%,592,644,695,39,63
24,4%,568,618,667,40,63
25,4%,544,592,639,41,63
26,4%,520,566,611,42,63
27,4%,496,540,583,43,63
28,5%,472,514,555,44,69
29,9%,448,488,526,45,87
30,16%,425,462,498,46,112
31,26%,401,436,470,47,147
32,39%,377,410,442,48,189
33,54%,353,384,414,49,229
34,68%,329,358,386,50,260
35,80%,305,332,358,50,274
36,88%,281,306,330,50,274
37,93%,257,280,302,50,263
38,100%,46,50,54,,50
39,100%,42,46,50,,46
40,100%,39,42,45,,42
41,100%,35,38,41,,38
42,100%,31,34,37,,34
43,100%,28,30,32,,30
44,100%,24,26,28,,26
45,100%,20,22,24,,22
46,100%,17,18,19,,18
47,100%,13,14,15,,14
48+,100%,9,10,11,,10
