Recipe Key,recipe_wearable_jewellery_ring_poor_10
Recipe Name,Onyx Bronze Ring
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,17
XPMultiplier,2.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,457,497,537,20,39
1,4%,440,478,517,20,38
2,4%,423,460,497,20,38
3,4%,406,442,477,20,37
4,4%,389,423,457,20,36
5,4%,372,405,437,20,35
6,4%,355,386,417,20,35
7,5%,339,368,397,20,39
8,9%,322,350,378,21,52
9,16%,305,331,358,22,71
10,26%,288,313,338,23,98
11,39%,271,294,318,24,129
12,54%,254,276,298,25,160
13,68%,237,258,278,26,184
14,80%,220,239,258,27,196
15,88%,203,221,238,28,197
16,93%,186,202,219,29,190
17,100%,27,29,31,,29
18,100%,23,25,27,,25
19,100%,19,21,23,,21
20,100%,16,17,18,,17
21,100%,12,13,14,,13
22,100%,8,9,10,,9
23,100%,5,5,5,,5
24,100%,1,1,1,,1
25,100%,0,0,0,,0
26,100%,0,0,0,,0
27+,100%,0,0,0,,0
