Recipe Key,recipe_wearable_jewellery_ring_poor_16
Recipe Name,Brushed Bronze Onyx Ring
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,25
XPMultiplier,2.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,588,639,691,20,45
1,4%,571,621,671,20,44
2,4%,554,603,651,20,43
3,4%,537,584,631,20,43
4,4%,521,566,611,20,42
5,4%,504,547,591,21,42
6,4%,487,529,571,22,42
7,4%,470,511,551,23,43
8,4%,453,492,532,24,43
9,4%,436,474,512,25,43
10,4%,419,455,492,26,43
11,4%,402,437,472,27,43
12,4%,385,419,452,28,44
13,4%,368,400,432,29,44
14,4%,351,382,412,30,44
15,5%,334,363,392,31,49
16,9%,317,345,373,32,61
17,16%,300,327,353,33,80
18,26%,284,308,333,34,105
19,39%,267,290,313,35,134
20,54%,250,271,293,36,163
21,68%,233,253,273,37,184
22,80%,216,235,253,38,195
23,88%,199,216,233,39,195
24,93%,182,198,214,40,187
25,100%,34,37,40,,37
26,100%,30,33,36,,33
27,100%,27,29,31,,29
28,100%,23,25,27,,25
29,100%,19,21,23,,21
30,100%,16,17,18,,17
31,100%,12,13,14,,13
32,100%,8,9,10,,9
33,100%,5,5,5,,5
34,100%,1,1,1,,1
35+,100%,0,0,0,,0
