Recipe Key,recipe_wearable_jewellery_ring_poor_26
Recipe Name,Simple Silver Tourmaline Ring
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,39
XPMultiplier,3.25
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1166,1268,1369,20,70
1,4%,1142,1242,1341,20,69
2,4%,1118,1216,1313,20,68
3,4%,1094,1190,1285,20,67
4,4%,1070,1164,1257,20,66
5,4%,1046,1138,1228,21,66
6,4%,1023,1112,1200,22,66
7,4%,999,1086,1172,23,66
8,4%,975,1060,1144,24,65
9,4%,951,1034,1116,25,65
10,4%,927,1008,1088,26,65
11,4%,903,982,1060,27,65
12,4%,879,956,1032,28,65
13,4%,855,930,1004,29,65
14,4%,831,904,976,30,65
15,4%,807,878,948,31,65
16,4%,783,852,920,32,65
17,4%,759,826,892,33,65
18,4%,736,800,863,34,65
19,4%,712,774,835,35,65
20,4%,688,748,807,36,64
21,4%,664,722,779,37,64
22,4%,640,696,751,38,64
23,4%,616,670,723,39,64
24,4%,592,644,695,40,64
25,4%,568,618,667,41,64
26,4%,544,592,639,42,64
27,4%,520,566,611,43,64
28,4%,496,540,583,44,64
29,5%,472,514,555,45,70
30,9%,448,488,526,46,87
31,16%,425,462,498,47,113
32,26%,401,436,470,48,148
33,39%,377,410,442,49,189
34,54%,353,384,414,50,230
35,68%,329,358,386,50,260
36,80%,305,332,358,50,274
37,88%,281,306,330,50,274
38,93%,257,280,302,50,263
39,100%,47,51,55,,51
40,100%,43,47,51,,47
41,100%,40,43,46,,43
42,100%,36,39,42,,39
43,100%,32,35,38,,35
44,100%,29,31,33,,31
45,100%,25,27,29,,27
46,100%,21,23,25,,23
47,100%,17,19,21,,19
48,100%,14,15,16,,15
49+,100%,10,11,12,,11
