Recipe Key,recipe_item_material_leather_bands_coarse
Recipe Name,Coarse Leather Band
Skill,skill_leatherworking
UnlockAtSkillLevel,0
SkillDifficulty,4
XPMultiplier,1.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,68%,103,112,121,20,83
1,80%,96,104,112,20,87
2,88%,88,96,104,20,87
3,93%,81,88,95,20,83
4,100%,15,16,17,,16
5,100%,11,12,13,,12
6,100%,7,8,9,,8
7,100%,4,4,4,,4
8,100%,0,0,0,,0
9,100%,0,0,0,,0
10,100%,0,0,0,,0
11,100%,0,0,0,,0
12,100%,0,0,0,,0
13,100%,0,0,0,,0
14+,100%,0,0,0,,0
