Recipe Key,recipe_item_material_leather_handles
Recipe Name,Leather Handles
Skill,skill_leatherworking
UnlockAtSkillLevel,8
SkillDifficulty,18
XPMultiplier,1.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
8,5%,265,288,311,20,34
9,9%,252,274,295,20,44
10,16%,238,259,280,20,58
11,26%,225,245,264,20,78
12,39%,212,230,249,20,102
13,54%,199,216,233,20,126
14,68%,185,202,218,20,144
15,80%,172,187,202,20,153
16,88%,159,173,187,21,154
17,93%,146,158,171,22,149
18,100%,28,30,32,,30
19,100%,24,26,28,,26
20,100%,20,22,24,,22
21,100%,17,18,19,,18
22,100%,13,14,15,,14
23,100%,9,10,11,,10
24,100%,6,6,6,,6
25,100%,2,2,2,,2
26,100%,0,0,0,,0
27,100%,0,0,0,,0
28+,100%,0,0,0,,0
