Recipe Key,recipe_item_material_leather_reinforced_plate_rough
Recipe Name,Rough Leather Plate
Skill,skill_leatherworking
UnlockAtSkillLevel,12
SkillDifficulty,25
XPMultiplier,2.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
12,4%,419,455,491,20,37
13,4%,400,435,470,20,37
14,4%,382,415,448,20,36
15,5%,363,395,427,20,40
16,9%,345,375,405,20,53
17,16%,327,355,383,21,74
18,26%,308,335,362,22,103
19,39%,290,315,340,23,137
20,54%,271,295,319,24,170
21,68%,253,275,297,25,196
22,80%,235,255,275,26,209
23,88%,216,235,254,27,210
24,93%,198,215,232,28,202
25,100%,34,37,40,,37
26,100%,30,33,36,,33
27,100%,27,29,31,,29
28,100%,23,25,27,,25
29,100%,19,21,23,,21
30,100%,16,17,18,,17
31,100%,12,13,14,,13
32,100%,8,9,10,,9
33,100%,5,5,5,,5
34,100%,1,1,1,,1
35+,100%,0,0,0,,0
