Recipe Key,recipe_item_material_leather_strap
Recipe Name,Leather Straps
Skill,skill_leatherworking
UnlockAtSkillLevel,11
SkillDifficulty,24
XPMultiplier,2.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
11,4%,423,460,497,20,38
12,4%,405,440,475,20,37
13,4%,386,420,454,20,36
14,5%,368,400,432,20,40
15,9%,350,380,410,20,54
16,16%,331,360,389,20,74
17,26%,313,340,367,20,103
18,39%,294,320,346,20,137
19,54%,276,300,324,21,171
20,68%,258,280,302,22,198
21,80%,239,260,281,23,212
22,88%,221,240,259,24,214
23,93%,202,220,238,25,206
24,100%,33,36,39,,36
25,100%,29,32,35,,32
26,100%,26,28,30,,28
27,100%,22,24,26,,24
28,100%,18,20,22,,20
29,100%,15,16,17,,16
30,100%,11,12,13,,12
31,100%,7,8,9,,8
32,100%,4,4,4,,4
33,100%,0,0,0,,0
34+,100%,0,0,0,,0
