Recipe Key,recipe_wearable_feet_leather_rp_boots_04_somber
Recipe Name,Duskwrap Boots
Skill,skill_leatherworking
UnlockAtSkillLevel,20
SkillDifficulty,25
XPMultiplier,2.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
20,54%,271,295,319,20,168
21,68%,253,275,297,20,194
22,80%,235,255,275,20,207
23,88%,216,235,254,20,209
24,93%,198,215,232,20,201
25,100%,34,37,40,,37
26,100%,30,33,36,,33
27,100%,27,29,31,,29
28,100%,23,25,27,,25
29,100%,19,21,23,,21
30,100%,16,17,18,,17
31,100%,12,13,14,,13
32,100%,8,9,10,,9
33,100%,5,5,5,,5
34,100%,1,1,1,,1
35+,100%,0,0,0,,0
