Recipe Key,recipe_wearable_feet_leather_rp_shoes_04_bright
Recipe Name,Moonveil Shoes
Skill,skill_leatherworking
UnlockAtSkillLevel,15
SkillDifficulty,20
XPMultiplier,2.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
15,54%,221,240,259,20,139
16,68%,206,224,242,20,159
17,80%,191,208,225,20,170
18,88%,177,192,207,20,171
19,93%,162,176,190,20,165
20,100%,29,32,35,,32
21,100%,26,28,30,,28
22,100%,22,24,26,,24
23,100%,18,20,22,,20
24,100%,15,16,17,,16
25,100%,11,12,13,,12
26,100%,7,8,9,,8
27,100%,4,4,4,,4
28,100%,0,0,0,,0
29,100%,0,0,0,,0
30+,100%,0,0,0,,0
