Recipe Key,recipe_wearable_leather_arms_pilgrim_0_t4_common
Recipe Name,Pilgrim's Bracers IV
Skill,skill_leatherworking
UnlockAtSkillLevel,22
SkillDifficulty,37
XPMultiplier,4.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
22,4%,1227,1334,1441,38,90
23,4%,1176,1279,1381,39,89
24,4%,1126,1224,1321,40,87
25,4%,1075,1168,1262,41,86
26,4%,1024,1113,1202,42,85
27,5%,973,1058,1143,43,97
28,9%,923,1003,1083,44,134
29,16%,872,948,1023,45,189
30,26%,821,892,964,46,265
31,39%,770,837,904,47,355
32,54%,719,782,845,48,444
33,68%,669,727,785,49,511
34,80%,618,672,725,50,546
35,88%,567,616,666,50,547
36,93%,516,561,606,50,525
37,100%,48,52,56,,52
38,100%,45,49,53,,49
39,100%,42,46,50,,46
40,100%,40,43,46,,43
41,100%,37,40,43,,40
42,100%,34,37,40,,37
43,100%,31,34,37,,34
44,100%,29,31,33,,31
45,100%,26,28,30,,28
46,100%,23,25,27,,25
47+,100%,20,22,24,,22
