Recipe Key,recipe_wearable_leather_chest_pilgrim_bol2_t4_uncommon
Recipe Name,Pilgrim's Jerkin IV
Skill,skill_leatherworking
UnlockAtSkillLevel,20
SkillDifficulty,34
XPMultiplier,5.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
20,4%,926,1007,1088,20,59
21,4%,887,965,1042,20,58
22,4%,848,922,996,20,56
23,4%,809,880,950,20,54
24,5%,770,837,904,20,64
25,9%,731,795,859,21,94
26,16%,692,753,813,22,139
27,26%,653,710,767,23,201
28,39%,614,668,721,24,275
29,54%,575,625,675,25,349
30,68%,536,583,630,26,406
31,80%,497,541,584,27,436
32,88%,458,498,538,28,441
33,93%,419,456,492,29,426
34,100%,42,46,50,,46
35,100%,39,42,45,,42
36,100%,35,38,41,,38
37,100%,31,34,37,,34
38,100%,28,30,32,,30
39,100%,24,26,28,,26
40,100%,20,22,24,,22
41,100%,17,18,19,,18
42,100%,13,14,15,,14
43,100%,9,10,11,,10
44+,100%,6,6,6,,6
