Recipe Key,recipe_wearable_leather_chest_pilgrim_bol_t2_common
Recipe Name,Pilgrim's Jerkin II
Skill,skill_leatherworking
UnlockAtSkillLevel,5
SkillDifficulty,11
XPMultiplier,1.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
5,39%,177,192,207,20,87
6,54%,166,180,194,20,106
7,68%,155,168,181,20,121
8,80%,144,156,168,20,128
9,88%,132,144,156,20,129
10,93%,121,132,143,20,124
11,100%,21,23,25,,23
12,100%,17,19,21,,19
13,100%,14,15,16,,15
14,100%,10,11,12,,11
15,100%,6,7,8,,7
16,100%,3,3,3,,3
17,100%,0,0,0,,0
18,100%,0,0,0,,0
19,100%,0,0,0,,0
20,100%,0,0,0,,0
21+,100%,0,0,0,,0
