Recipe Key,recipe_wearable_leather_chest_pilgrim_bol_t3_common
Recipe Name,Pilgrim's Jerkin III
Skill,skill_leatherworking
UnlockAtSkillLevel,9
SkillDifficulty,21
XPMultiplier,2.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
9,4%,389,422,456,20,36
10,4%,371,403,435,20,35
11,5%,353,384,415,20,39
12,9%,336,365,394,20,52
13,16%,318,346,373,20,72
14,26%,300,326,353,20,99
15,39%,283,307,332,20,132
16,54%,265,288,311,20,165
17,68%,247,269,290,21,190
18,80%,230,250,270,22,203
19,88%,212,230,249,23,205
20,93%,194,211,228,24,198
21,100%,30,33,36,,33
22,100%,27,29,31,,29
23,100%,23,25,27,,25
24,100%,19,21,23,,21
25,100%,16,17,18,,17
26,100%,12,13,14,,13
27,100%,8,9,10,,9
28,100%,5,5,5,,5
29,100%,1,1,1,,1
30,100%,0,0,0,,0
31+,100%,0,0,0,,0
