Recipe Key,recipe_wearable_leather_chest_pilgrim_bol_t4_common
Recipe Name,Pilgrim's Jerkin IV
Skill,skill_leatherworking
UnlockAtSkillLevel,17
SkillDifficulty,31
XPMultiplier,3.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
17,4%,629,684,739,20,47
18,4%,603,655,708,20,45
19,4%,576,626,677,20,44
20,4%,550,598,645,20,43
21,5%,523,569,614,20,49
22,9%,497,540,583,21,70
23,16%,470,511,552,22,100
24,26%,444,482,521,23,142
25,39%,417,454,490,24,191
26,54%,391,425,459,25,241
27,68%,364,396,428,26,278
28,80%,338,367,397,27,298
29,88%,311,338,365,28,301
30,93%,285,310,334,29,290
31,100%,40,43,46,,43
32,100%,36,39,42,,39
33,100%,32,35,38,,35
34,100%,29,31,33,,31
35,100%,25,27,29,,27
36,100%,21,23,25,,23
37,100%,17,19,21,,19
38,100%,14,15,16,,15
39,100%,10,11,12,,11
40,100%,6,7,8,,7
41+,100%,3,3,3,,3
