Recipe Key,recipe_wearable_leather_feet_pilgrim_boj2_t3_rare
Recipe Name,Pilgrim's Marchers III
Skill,skill_leatherworking
UnlockAtSkillLevel,0
SkillDifficulty,30
XPMultiplier,9.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,2721,2957,3194,20,137
1,4%,2652,2883,3114,20,135
2,4%,2584,2809,3033,20,132
3,4%,2515,2734,2953,20,129
4,4%,2447,2660,2873,20,126
5,4%,2379,2585,2792,21,124
6,4%,2310,2511,2712,22,122
7,4%,2242,2437,2632,23,120
8,4%,2173,2362,2551,24,118
9,4%,2105,2288,2471,25,116
10,4%,2036,2213,2390,26,113
11,4%,1968,2139,2310,27,111
12,4%,1899,2065,2230,28,109
13,4%,1831,1990,2149,29,107
14,4%,1763,1916,2069,30,105
15,4%,1694,1841,1989,31,103
16,4%,1626,1767,1908,32,101
17,4%,1557,1693,1828,33,99
18,4%,1489,1618,1748,34,97
19,4%,1420,1544,1667,35,95
20,5%,1352,1469,1587,36,113
21,9%,1283,1395,1507,37,165
22,16%,1215,1321,1426,38,243
23,26%,1147,1246,1346,39,351
24,39%,1078,1172,1266,40,481
25,54%,1010,1097,1185,41,611
26,68%,941,1023,1105,42,711
27,80%,873,949,1024,43,765
28,88%,804,874,944,44,773
29,93%,736,800,864,45,747
30,100%,39,42,45,,42
31,100%,35,38,41,,38
32,100%,31,34,37,,34
33,100%,28,30,32,,30
34,100%,24,26,28,,26
35,100%,20,22,24,,22
36,100%,17,18,19,,18
37,100%,13,14,15,,14
38,100%,9,10,11,,10
39,100%,6,6,6,,6
40+,100%,2,2,2,,2
