Recipe Key,recipe_wearable_leather_feet_pilgrim_boj2_t4_rare
Recipe Name,Pilgrim's Marchers IV
Skill,skill_leatherworking
UnlockAtSkillLevel,0
SkillDifficulty,40
XPMultiplier,14.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,7762,8437,9112,38,374
1,4%,7604,8265,8927,39,368
2,4%,7446,8094,8741,40,362
3,4%,7288,7922,8556,41,356
4,4%,7131,7751,8371,42,350
5,4%,6973,7579,8185,43,344
6,4%,6815,7407,8000,44,339
7,4%,6657,7236,7815,45,333
8,4%,6499,7064,7629,46,327
9,4%,6341,6893,7444,47,321
10,4%,6183,6721,7259,48,315
11,4%,6025,6549,7073,49,309
12,4%,5868,6378,6888,50,303
13,4%,5710,6206,6703,50,296
14,4%,5552,6035,6517,50,289
15,4%,5394,5863,6332,50,283
16,4%,5236,5691,6147,50,276
17,4%,5078,5520,5961,50,269
18,4%,4920,5348,5776,50,262
19,4%,4762,5177,5591,50,255
20,4%,4605,5005,5405,50,248
21,4%,4447,4833,5220,50,241
22,4%,4289,4662,5035,50,234
23,4%,4131,4490,4849,50,228
24,4%,3973,4319,4664,50,221
25,4%,3815,4147,4479,50,214
26,4%,3657,3975,4293,50,207
27,4%,3499,3804,4108,50,200
28,4%,3342,3632,3923,50,193
29,4%,3184,3461,3737,50,186
30,5%,3026,3289,3552,50,223
31,9%,2868,3117,3367,50,338
32,16%,2710,2946,3181,50,512
33,26%,2552,2774,2996,50,754
34,39%,2394,2603,2811,50,1045
35,54%,2237,2431,2625,50,1334
36,68%,2079,2259,2440,50,1557
37,80%,1921,2088,2255,50,1675
38,88%,1763,1916,2069,50,1689
39,93%,1605,1745,1884,50,1625
40,100%,51,55,59,,55
41,100%,48,52,56,,52
42,100%,45,49,53,,49
43,100%,42,46,50,,46
44,100%,40,43,46,,43
45,100%,37,40,43,,40
46,100%,34,37,40,,37
47,100%,31,34,37,,34
48,100%,29,31,33,,31
49,100%,26,28,30,,28
50+,100%,23,25,27,,25
