Recipe Key,recipe_wearable_leather_feet_pilgrim_boj_t3_common
Recipe Name,Pilgrim's Marchers III
Skill,skill_leatherworking
UnlockAtSkillLevel,11
SkillDifficulty,24
XPMultiplier,2.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
11,4%,457,497,537,20,39
12,4%,437,475,513,20,38
13,4%,417,454,490,20,37
14,5%,397,432,467,20,42
15,9%,378,410,443,20,57
16,16%,358,389,420,20,79
17,26%,338,367,397,20,110
18,39%,318,346,373,20,147
19,54%,298,324,350,21,184
20,68%,278,302,327,22,213
21,80%,258,281,303,23,229
22,88%,238,259,280,24,231
23,93%,219,238,257,25,223
24,100%,33,36,39,,36
25,100%,29,32,35,,32
26,100%,26,28,30,,28
27,100%,22,24,26,,24
28,100%,18,20,22,,20
29,100%,15,16,17,,16
30,100%,11,12,13,,12
31,100%,7,8,9,,8
32,100%,4,4,4,,4
33,100%,0,0,0,,0
34+,100%,0,0,0,,0
